dataset,method,group,top_features,class_coverage,reconstruction_accuracy,reconstruction_std,semantic_preservation
nyt,clustering,1,29,0.5547546343864926,0.764,0.039799497484264805,2.0
nyt,clustering,1,30,0.5547546343864926,0.7579999999999999,0.035440090293338736,2.0
nyt,clustering,1,31,0.5547546343864926,0.774,0.03382306905057552,2.0
nyt,clustering,1,32,0.5547546343864926,0.772,0.0370944739819828,2.0
nyt,clustering,1,33,0.5573920596704288,0.78,0.034058772731852795,2.0
nyt,clustering,1,34,0.5573920596704288,0.7700000000000001,0.052153619241621166,2.0
nyt,clustering,1,35,0.5573920596704288,0.776,0.04543126676640219,2.0
nyt,clustering,1,36,0.5704052338793799,0.78,0.04939635614091388,2.0
nyt,clustering,1,37,0.5704052338793799,0.7879999999999999,0.050358713248056686,2.0
nyt,clustering,1,38,0.5704052338793799,0.7859999999999999,0.0553534100123922,2.0
nyt,clustering,1,39,0.5704052338793799,0.792,0.052687759489277966,2.0
nyt,clustering,1,40,0.6481653233483703,0.828,0.06273754856543251,2.0
nyt,clustering,1,41,0.6481653233483703,0.8220000000000001,0.06241794613730896,2.0
nyt,clustering,1,42,0.6481653233483703,0.8240000000000001,0.06248199740725325,2.0
nyt,clustering,1,43,0.6481653233483703,0.8239999999999998,0.06770524351924305,2.0
nyt,clustering,1,44,0.6481653233483703,0.82,0.06418722614352487,2.0
nyt,clustering,1,45,0.6481653233483703,0.82,0.06066300355241242,2.0
nyt,clustering,1,46,0.6481653233483703,0.826,0.055713553108736484,2.0
